产品描述,产品英文描述,规格说明,SKU编码,价格_II,价格_III,价格_IV,价格_V,备注,分类编码,品牌编码,SKU名称
单门底柜,1 door base unit,H.720 D.560,N-U30-7256-L,3730,3970,4180,4810,一块可调节隔板,BASE_CABINET,ROYANA,NOVO系列单门底柜 左开门 30cm
单门底柜,1 door base unit,H.720 D.560,N-U30-7256-R,3730,3970,4180,4810,一块可调节隔板,BASE_CABINET,ROYANA,NOVO系列单门底柜 右开门 30cm
单门底柜,1 door base unit,H.720 D.560,N-U45-7256-L,4280,4560,4870,5600,,BASE_CABINET,ROYANA,NOVO系列单门底柜 左开门 45cm
单门底柜,1 door base unit,H.720 D.560,N-U45-7256-R,4280,4560,4870,5600,,BASE_CABINET,ROYANA,NOVO系列单门底柜 右开门 45cm
单门底柜,1 door base unit,H.720 D.560,N-U50-7256-L,4480,4770,5120,5890,,BASE_CABINET,ROYANA,NOVO系列单门底柜 左开门 50cm
单门底柜,1 door base unit,H.720 D.560,N-U50-7256-R,4480,4770,5120,5890,,BASE_CABINET,ROYANA,NOVO系列单门底柜 右开门 50cm
单门底柜,1 door base unit,H.720 D.560,N-U60-7256-L,4990,5310,5750,6620,,BASE_CABINET,ROYANA,NOVO系列单门底柜 左开门 60cm
单门底柜,1 door base unit,H.720 D.560,N-U60-7256-R,4990,5310,5750,6620,,BASE_CABINET,ROYANA,NOVO系列单门底柜 右开门 60cm
双门底柜,2 door base unit,H.720 D.560,N-U90-7256,6750,7180,7830,9010,一块可调节隔板,BASE_CABINET,ROYANA,NOVO系列双门底柜 90cm
双门底柜,2 door base unit,H.720 D.560,N-U100-7256,7580,8060,8780,10100,,BASE_CABINET,ROYANA,NOVO系列双门底柜 100cm
双门底柜,2 door base unit,H.720 D.560,N-U110-7256,8570,9120,9760,11230,,BASE_CABINET,ROYANA,NOVO系列双门底柜 110cm
双门底柜,2 door base unit,H.720 D.560,N-U120-7256,9200,9790,10580,12170,,BASE_CABINET,ROYANA,NOVO系列双门底柜 120cm
单门单抽底柜,1 door 1 drawer base unit,H.720 D.560,N-US30-10-7256-L,4700,4900,5080,5550,一组低抽 一块可调节隔板,BASE_CABINET,ROYANA,NOVO系列单门单抽底柜 左开门 30cm
单门单抽底柜,1 door 1 drawer base unit,H.720 D.560,N-US30-10-7256-R,4700,4900,5080,5550,一组低抽 一块可调节隔板,BASE_CABINET,ROYANA,NOVO系列单门单抽底柜 右开门 30cm
单门单抽底柜,1 door 1 drawer base unit,H.720 D.560,N-US45-10-7256-L,5320,5540,5810,6350,,BASE_CABINET,ROYANA,NOVO系列单门单抽底柜 左开门 45cm
单门单抽底柜,1 door 1 drawer base unit,H.720 D.560,N-US45-10-7256-R,5320,5540,5810,6350,,BASE_CABINET,ROYANA,NOVO系列单门单抽底柜 右开门 45cm
单门单抽底柜,1 door 1 drawer base unit,H.720 D.560,N-US50-10-7256-L,5600,5830,6120,6690,,BASE_CABINET,ROYANA,NOVO系列单门单抽底柜 左开门 50cm
单门单抽底柜,1 door 1 drawer base unit,H.720 D.560,N-US50-10-7256-R,5600,5830,6120,6690,,BASE_CABINET,ROYANA,NOVO系列单门单抽底柜 右开门 50cm
单门单抽底柜,1 door 1 drawer base unit,H.720 D.560,N-US60-10-7256-L,6080,6340,6700,7320,,BASE_CABINET,ROYANA,NOVO系列单门单抽底柜 左开门 60cm
单门单抽底柜,1 door 1 drawer base unit,H.720 D.560,N-US60-10-7256-R,6080,6340,6700,7320,,BASE_CABINET,ROYANA,NOVO系列单门单抽底柜 右开门 60cm
内置抽屉柜,Inner drawers base unit,H.720 D.560,N-UC30-30-7256,8890,9070,9230,10160,一块抽拉门板 配四杆高抽 二组内置抽屉,BASE_CABINET,ROYANA,NOVO系列内置抽屉柜 30cm
内置抽屉柜,Inner drawers base unit,H.720 D.560,N-UC45-30-7256,9180,9370,9640,10610,,BASE_CABINET,ROYANA,NOVO系列内置抽屉柜 45cm
内置抽屉柜,Inner drawers base unit,H.720 D.560,N-UC50-30-7256,9670,9860,10150,11170,,BASE_CABINET,ROYANA,NOVO系列内置抽屉柜 50cm
内置抽屉柜,Inner drawers base unit,H.720 D.560,N-UC60-30-7256,10200,10400,10690,11760,,BASE_CABINET,ROYANA,NOVO系列内置抽屉柜 60cm
内置抽屉柜,Inner drawers base unit,H.720 D.560,N-UC90-30-7256,12930,13190,13750,15130,,BASE_CABINET,ROYANA,NOVO系列内置抽屉柜 90cm
